trait,pass_group,filter_status,rank_in_block,gene_id,lead_SNP,class,dist_to_lead_bp,n_snps_window,best_MGmin,best_epsilon,best_n_groups,best_group_sizes,best_kw_p_raw,best_kw_p_holm_within_gene,trait_fdr_p,trait_bonferroni_p,significant_fdr,significant_bonferroni,annotation_status,annotation_source,needs_verification,annotation,combined_pdf_path,heatmap_dir
betaglucan,1_PASSED_FDR,PASS_FDR_and_BONF,11,HORVU.MOREX.r3.2HG0191530,2H:602246902,significant,101169,40,3,0.2,2,27|215,7.19988331597603e-05,0.000863985997917123,0.00408429744469913,0.0449272718916904,TRUE,TRUE,HAVE,curated,FALSE,cytosolic sulfotransferase 8-like | Gene role: likely a cytosolic sulfotransferase enzyme involved in sulfate conjugation of small molecules in sulfur/secondary metabolism.,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0191530/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0191530__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191530
betaglucan,1_PASSED_FDR,PASS_FDR_only,12,HORVU.MOREX.r3.6HG0627010,6H:545947347,marginal,-80335,22,2,0.2,2,36|195,0.000432758203861239,0.00129827461158372,0.0056258566501961,0.0675102798023532,TRUE,FALSE,HAVE,curated,FALSE,"proliferating cell nuclear antigen | Gene role: a DNA replication and cell-cycle factor (PCNA) involved in DNA synthesis, replication fork function, and DNA repair.",/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.6HG0627010/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.6HG0627010__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.6HG0627010
betaglucan,1_PASSED_FDR,PASS_FDR_only,13,HORVU.MOREX.r3.2HG0191510,2H:602246902,significant,-70852,43,3,0.2,4,23|34|45|125,0.000141339834402559,0.00155473817842815,0.00577474180559028,0.0808463852782639,TRUE,FALSE,HAVE,curated,FALSE,UPF0481 protein At3g47200-like - Uncharacterized protein,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0191510/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0191510__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191510
betaglucan,1_PASSED_FDR,PASS_FDR_only,14,HORVU.MOREX.r3.6HG0627090,6H:545947347,marginal,-51913,12,2,0.05,2,14|224,0.000369192792888267,0.00147677117155307,0.00577474180559028,0.0767921009207595,TRUE,FALSE,HAVE,curated,FALSE,Gene role: likely a quinone oxidoreductase / redox enzyme involved in quinone detoxification and oxidative stress-related metabolism.,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.6HG0627090/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.6HG0627090__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.6HG0627090
betaglucan,1_PASSED_FDR,PASS_FDR_only,15,HORVU.MOREX.r3.2HG0112910,2H:41996626,significant,195643,6,2,0.8,4,12|22|64|108,0.00110928185795767,0.00221856371591534,0.00750459235417674,0.115365313227598,TRUE,FALSE,HAVE,curated,FALSE,pectinesterase-like | Gene role: likely a cell wall remodeling enzyme (pectin methylesterase/pectinesterase-like) involved in modifying pectin structure and cell wall properties.,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112910/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0112910__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112910
betaglucan,1_PASSED_FDR,PASS_FDR_only,16,HORVU.MOREX.r3.6HG0627060,6H:545947347,marginal,-63442,12,3,0.6,2,26|204,0.000461821067949338,0.00230910533974669,0.00750459235417674,0.120073477666828,TRUE,FALSE,HAVE,curated,FALSE,actin-binding protein IPP-like | Gene role: likely an actin-associated cytoskeletal protein involved in cell structure and intracellular organization.,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.6HG0627060/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.6HG0627060__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.6HG0627060
betaglucan,1_PASSED_FDR,PASS_FDR_only,17,HORVU.MOREX.r3.2HG0112890,2H:41996626,significant,176994,5,2,0.8,2,58|192,0.00287713924987162,0.00287713924987162,0.00831173561074023,0.149611240993324,TRUE,FALSE,NEED_ANNOTATION,none,FALSE,NEED TO ADD ANNOTATION,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112890/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0112890__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112890
betaglucan,1_PASSED_FDR,PASS_FDR_only,18,HORVU.MOREX.r3.3HG0299450,3H:537247620,significant,-131468,14,2,0.4,3,11|48|137,0.000454651880236726,0.00272791128142036,0.00831173561074023,0.141851386633859,TRUE,FALSE,HAVE,curated,FALSE,"protein LIKE COV 2-like | Gene role: likely a COV1/COV-like developmental or cell-wall-associated protein, probably involved in tissue organization and cell wall-related development.",/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.3HG0299450/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.3HG0299450__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.3HG0299450
betaglucan,1_PASSED_FDR,PASS_FDR_only,19,HORVU.MOREX.r3.1HG0077700,1H:479493867,significant,-151976,17,2,0.8,3,14|28|132,0.00043121777751164,0.00344974222009312,0.0089693297722421,0.179386595444842,TRUE,FALSE,HAVE,curated,FALSE,"rac-like GTP-binding protein 2 | Gene role: likely a ROP/RAC small GTPase, i.e. a general signaling regulator involved in cytoskeleton organization, vesicle trafficking, and cell polarity.",/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.1HG0077700/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.1HG0077700__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0077700
betaglucan,1_PASSED_FDR,PASS_FDR_only,20,HORVU.MOREX.r3.7HG0675580,7H:144534576,marginal,169256,15,2,0.4,3,36|81|106,0.000839691918804409,0.00335876767521763,0.0089693297722421,0.174655919111317,TRUE,FALSE,HAVE,curated,FALSE,"putative late blight resistance protein-R1B-14-like | disease resistance protein RGA5 / RGA5-like | Gene role: likely an NLR-type disease resistance protein with an NB-ARC domain, involved in pathogen recognition and immune signaling.",/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.7HG0675580/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.7HG0675580__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.7HG0675580
betaglucan,1_PASSED_FDR,PASS_FDR_only,21,HORVU.MOREX.r3.2HG0112840,2H:41996626,significant,38954,12,2,0.6,2,62|87,0.000939188852068436,0.00375675540827374,0.00930244196334451,0.195351281230235,TRUE,FALSE,HAVE,curated,FALSE,Predicted protein,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112840/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0112840__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112840
betaglucan,1_PASSED_FDR,PASS_FDR_only,22,HORVU.MOREX.r3.2HG0191520,2H:602246902,significant,73137,11,3,0.5,2,79|150,0.000986563847415379,0.00394625538966151,0.00932751273919994,0.205205280262399,TRUE,FALSE,HAVE,curated,FALSE,"UPF0481 protein At3g47200 [Aegilops tauschii subsp. strangulata] | Gene role: likely an uncharacterized DUF247/UPF0481 family protein, with a possible cell wall–associated role based on related family members.",/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0191520/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0191520__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191520
betaglucan,1_PASSED_FDR,PASS_FDR_only,23,HORVU.MOREX.r3.2HG0112820,2H:41996626,significant,31665,35,3,0.05,2,79|162,0.000442105236000979,0.00530526283201175,0.0110349466905844,0.275873667264611,TRUE,FALSE,HAVE,curated,FALSE,60S ribosomal protein L19-1-like | Gene role: likely a ribosomal protein involved in general protein translation and ribosome function.,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112820/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0112820__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112820
betaglucan,1_PASSED_FDR,PASS_FDR_only,24,HORVU.MOREX.r3.2HG0191430,2H:602246902,significant,-184737,5,3,0.8,2,30|213,0.00256463350144552,0.00512926700289105,0.0110349466905844,0.266721884150335,TRUE,FALSE,NEED_ANNOTATION,none,FALSE,NEED TO ADD ANNOTATION,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0191430/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0191430__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191430
betaglucan,1_PASSED_FDR,PASS_FDR_only,25,HORVU.MOREX.r3.1HG0077720,1H:479493867,significant,-32686,28,2,0.05,3,45|56|85,0.000547643376599935,0.00492879038939942,0.0110349466905844,0.25629710024877,TRUE,FALSE,HAVE,curated,FALSE,probable magnesium transporter NIPA6 | Gene role: likely a magnesium transporter involved in ion homeostasis and membrane transport.,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.1HG0077720/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.1HG0077720__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0077720
betaglucan,1_PASSED_FDR,PASS_FDR_only,26,HORVU.MOREX.r3.6HG0627120,6H:545947347,marginal,-39269,40,2,0.8,5,10|13|26|29|30,0.000711046586108596,0.00782151244719456,0.0156430248943891,0.406718647254117,TRUE,FALSE,HAVE,curated,FALSE,"protein ACTIVITY OF BC1 COMPLEX KINASE 3, chloroplastic | Gene role: Chloroplast-associated kinase involved in regulation of photosynthetic or energy-related processes.",/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.6HG0627120/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.6HG0627120__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.6HG0627120
betaglucan,1_PASSED_FDR,PASS_FDR_only,27,HORVU.MOREX.r3.2HG0191540,2H:602246902,significant,106325,24,2,0.4,3,11|40|96,0.00152734734711774,0.0106914314298242,0.0205909049759576,0.555954434350856,TRUE,FALSE,HAVE,curated,FALSE,Uncharacterized protein,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0191540/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0191540__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191540
betaglucan,1_PASSED_FDR,PASS_FDR_only,28,HORVU.MOREX.r3.3HG0299440,3H:537247620,significant,-146381,16,2,0.5,2,26|216,0.00781620723893504,0.0156324144778701,0.029031626887473,0.812885552849244,TRUE,FALSE,HAVE,curated,FALSE,APETALA2-like protein 5 | Gene role: AP2/ERF-family transcription factor involved in developmental and regulatory gene-expression programs.,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.3HG0299440/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.3HG0299440__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.3HG0299440
betaglucan,1_PASSED_FDR,PASS_FDR_only,29,HORVU.MOREX.r3.4HG0395770,4H:528254769,significant,129651,6,2,0.6,2,45|197,0.0195217422075336,0.0195217422075336,0.0350045032686809,1,TRUE,FALSE,NEED_ANNOTATION,none,FALSE,NEED TO ADD ANNOTATION,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.4HG0395770/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.4HG0395770__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.4HG0395770
betaglucan,1_PASSED_FDR,PASS_FDR_only,30,HORVU.MOREX.r3.1HG0079220,1H:483379118,significant,-3869,6,2,0.6,2,15|226,0.013200099045613,0.0264001980912259,0.0457603433581249,1,TRUE,FALSE,NEED_ANNOTATION,none,FALSE,NEED TO ADD ANNOTATION,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.1HG0079220/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.1HG0079220__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079220
betaglucan,2_did_not_pass,not_significant,1,HORVU.MOREX.r3.4HG0395820,4H:528254769,significant,163834,7,2,0.6,3,31|87|101,0.0167010752703336,0.0334021505406672,0.0560294138101514,1,FALSE,FALSE,NEED_ANNOTATION,none,FALSE,NEED TO ADD ANNOTATION,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.4HG0395820/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.4HG0395820__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.4HG0395820
