HORVU.MOREX.r3.2HG0179670	
HORVU.MOREX.r3.2HG0179680	
HORVU.MOREX.r3.2HG0179690	
HORVU.MOREX.r3.2HG0191420	cyclic sesquiterpene synthase-like | Gene role: likely a NAC family transcription factor, i.e. a broad transcriptional regulator involved in development and stress-related gene expression.
HORVU.MOREX.r3.2HG0191450	
HORVU.MOREX.r3.2HG0191470	protein ECERIFERUM 26-like | Gene role: likely a wax/VLCFA elongation-related protein involved in cuticular lipid metabolism.
HORVU.MOREX.r3.2HG0191480	
HORVU.MOREX.r3.2HG0191490	
HORVU.MOREX.r3.2HG0191510	UPF0481 protein At3g47200-like - Uncharacterized protein
HORVU.MOREX.r3.2HG0191520	UPF0481 protein At3g47200 [Aegilops tauschii subsp. strangulata] | Gene role: likely an uncharacterized DUF247/UPF0481 family protein, with a possible cell wall–associated role based on related family members.
HORVU.MOREX.r3.2HG0191530	cytosolic sulfotransferase 8-like | Gene role: likely a cytosolic sulfotransferase enzyme involved in sulfate conjugation of small molecules in sulfur/secondary metabolism.
HORVU.MOREX.r3.2HG0191540	Uncharacterized protein
HORVU.MOREX.r3.2HG0191580	
HORVU.MOREX.r3.3HG0225270	non-specific serine/threonine protein kinase | Status | UniProtKB unreviewed (TrEMBL) | Gene role: likely a general serine/threonine protein kinase, i.e. a broad signaling regulator.
HORVU.MOREX.r3.3HG0225280	cysteine-rich receptor-like protein kinase 10 | Gene role: Cysteine-rich receptor-like protein kinase likely involved in membrane signaling and cellular response pathways.
HORVU.MOREX.r3.3HG0225300	
HORVU.MOREX.r3.3HG0225310	
HORVU.MOREX.r3.3HG0225360	
HORVU.MOREX.r3.3HG0225370	
HORVU.MOREX.r3.3HG0225400	
HORVU.MOREX.r3.3HG0225420	Leaf Rust 10 Disease-Resistance Receptor-like Protein Kinase (LRK10) | Gene role: likely a disease-resistance receptor-like kinase, i.e. a signaling protein involved in defense/stress responses.
HORVU.MOREX.r3.3HG0225430	
HORVU.MOREX.r3.3HG0225440	
HORVU.MOREX.r3.3HG0225450	
HORVU.MOREX.r3.3HG0225510	17.9 kDa heat shock protein 2-like | Gene role: Small heat shock protein functioning as a stress-responsive molecular chaperone for protein protection and folding.
HORVU.MOREX.r3.3HG0233920	
HORVU.MOREX.r3.3HG0268130	PORR domain-containing protein | Gene role: PORR-domain protein likely involved in organellar RNA processing, such as RNA maturation or intron splicing.
HORVU.MOREX.r3.3HG0287240	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein Status UniProtKB unreviewed (TrEMBL) | Gene role: likely a LEA stress-protective protein involved in seed maturation, desiccation tolerance, and abiotic stress protection.
HORVU.MOREX.r3.3HG0287270	Protein | RING-type domain-containing protein | Status | UniProtKB unreviewed (TrEMBL) | Gene role: likely an ATL-family RING-H2 E3 ubiquitin ligase, i.e. a post-translational regulatory protein involved in protein turnover and signaling.
HORVU.MOREX.r3.3HG0287290	
HORVU.MOREX.r3.3HG0299440	APETALA2-like protein 5 | Gene role: AP2/ERF-family transcription factor involved in developmental and regulatory gene-expression programs.
HORVU.MOREX.r3.3HG0299450	protein LIKE COV 2-like | Gene role: likely a COV1/COV-like developmental or cell-wall-associated protein, probably involved in tissue organization and cell wall-related development.
HORVU.MOREX.r3.3HG0299460	polypyrimidine tract-binding protein homolog 3-like | Gene role: likely an RNA-binding protein involved in pre-mRNA processing and alternative splicing.
HORVU.MOREX.r3.3HG0301080	cell division control protein 6 homolog | Gene role: DNA replication licensing factor involved in cell cycle control and initiation of DNA replication.
HORVU.MOREX.r3.3HG0301710	Phosphate transporter 43 PHT / Anion transporter | Gene role: Phosphate/anion transporter involved in phosphate movement and general cellular nutrient homeostasis.
HORVU.MOREX.r3.3HG0301720	Gene role: Calmodulin-binding cytoplasmic kinase involved in calcium-dependent signaling and signal transduction.
HORVU.MOREX.r3.3HG0301750	alpha-glucan phosphorylase | Gene role: Alpha-glucan phosphorylase catalyzes reversible phosphorolysis of alpha-glucans, linking starch breakdown and glucan metabolism to glucose-1-phosphate production.
HORVU.MOREX.r3.3HG0301770	Alpha-glucan phosphorylase alpha 1-4 | ene role: Alpha-glucan phosphorylase catalyzes reversible phosphorolysis of alpha-1,4 glucans, linking starch turnover to glucose-1-phosphate metabolism.
HORVU.MOREX.r3.3HG0322550	
HORVU.MOREX.r3.3HG0322580	xylan glycosyltransferase MUCI21-like - stonger connection!
HORVU.MOREX.r3.3HG0322600	
HORVU.MOREX.r3.3HG0322660	probably inactive leucine-rich repeat receptor-like protein kinase At3g28040 | Gene role: likely an LRR receptor-like signaling protein, probably functioning as a general signaling/co-receptor regulator rather than a direct catalytic enzyme.
HORVU.MOREX.r3.3HG0322690	(DL)-glycerol-3-phosphatase 2-like | Gene role: Enzyme likely involved in glycerol-3-phosphate/glycerol metabolism and general cellular carbon-lipid balance.
HORVU.MOREX.r3.4HG0339140	Uncharacterized protein
HORVU.MOREX.r3.4HG0341560	
HORVU.MOREX.r3.5HG0423910	
HORVU.MOREX.r3.5HG0423980	basic leucine zipper 23-like | Gene role: bZIP-family transcription factor likely involved in transcriptional regulation of developmental or stress-responsive gene expression.
HORVU.MOREX.r3.5HG0423990	anaphase-promoting complex subunit 5 | Gene role: a core APC/C subunit, i.e. a cell-cycle and ubiquitin-mediated proteolysis regulator.
HORVU.MOREX.r3.5HG0424010	
HORVU.MOREX.r3.6HG0609520	
HORVU.MOREX.r3.6HG0627010	proliferating cell nuclear antigen | Gene role: a DNA replication and cell-cycle factor (PCNA) involved in DNA synthesis, replication fork function, and DNA repair.
HORVU.MOREX.r3.6HG0627020	
HORVU.MOREX.r3.6HG0627040	
HORVU.MOREX.r3.6HG0627060	actin-binding protein IPP-like | Gene role: likely an actin-associated cytoskeletal protein involved in cell structure and intracellular organization.
HORVU.MOREX.r3.6HG0627080	
HORVU.MOREX.r3.6HG0627090	Gene role: likely a quinone oxidoreductase / redox enzyme involved in quinone detoxification and oxidative stress-related metabolism.
HORVU.MOREX.r3.6HG0627110	
HORVU.MOREX.r3.6HG0627120	protein ACTIVITY OF BC1 COMPLEX KINASE 3, chloroplastic | Gene role: Chloroplast-associated kinase involved in regulation of photosynthetic or energy-related processes.
HORVU.MOREX.r3.6HG0627200	TF-B3 domain-containing protein | UniProtKB unreviewed (TrEMBL) | Gene role: likely a B3-domain transcription factor, i.e. a transcriptional regulator involved in seed/developmental gene expression.
HORVU.MOREX.r3.7HG0642320	
HORVU.MOREX.r3.7HG0642350	Putative BAHD Acyltransferase | Gene role: Putative BAHD acyltransferase likely involved in acylation of cell wall-associated or secondary-metabolism compounds.
HORVU.MOREX.r3.7HG0642360	BAG family molecular chaperone regulator 1-like | Gene role: BAG-family co-chaperone regulator involved in protein folding, stress responses, and general cellular homeostasis.
HORVU.MOREX.r3.7HG0642460	codeine O-demethylase-like | Gene role: Putative O-demethylase-like enzyme likely involved in secondary metabolite modification rather than core structural carbohydrate synthesis.
HORVU.MOREX.r3.7HG0642480	
HORVU.MOREX.r3.7HG0675560	
HORVU.MOREX.r3.7HG0675570	
HORVU.MOREX.r3.7HG0675580	putative late blight resistance protein-R1B-14-like | disease resistance protein RGA5 / RGA5-like | Gene role: likely an NLR-type disease resistance protein with an NB-ARC domain, involved in pathogen recognition and immune signaling.
HORVU.MOREX.r3.7HG0675630	damage-control phosphatase At2g17340-like | Gene role: likely a metabolite damage-control phosphatase involved in detoxifying aberrant sugar phosphates and maintaining metabolic homeostasis.
HORVU.MOREX.r3.7HG0728480	
HORVU.MOREX.r3.7HG0729010	peroxidase 45-like | Gene role: Cell wall-associated peroxidase likely involved in oxidative remodeling, cross-linking, or strengthening of cell wall components.
HORVU.MOREX.r3.7HG0729020	probable high-affinity nitrate transporter 2.4 | Gene role: High-affinity nitrate transporter involved in nitrate uptake and nitrogen nutrition.
HORVU.MOREX.r3.7HG0729030	GDSL esterase / acetylajmalan esterase-like | Gene role: GDSL esterase/lipase-family enzyme likely involved in deacylation or remodeling of extracellular, lipid-associated, or cell wall-related substrates.
HORVU.MOREX.r3.7HG0729050	
HORVU.MOREX.r3.7HG0729090	Gene role: PPR/PRORP-domain protein likely involved in organellar RNA processing, including tRNA or other RNA maturation functions.
HORVU.MOREX.r3.7HG0729100	nifU-like protein 3, chloroplastic [view all locations] | Gene role: Chloroplast-associated NifU-like protein likely involved in Fe-S cluster assembly and organellar metabolic maintenance.
HORVU.MOREX.r3.7HG0729110	Predicted protein
HORVU.MOREX.r3.7HG0738080	thioredoxin O, mitochondrial-like | Gene role: likely a mitochondrial thioredoxin/redox regulator involved in mitochondrial redox homeostasis and metabolic regulation.
HORVU.MOREX.r3.7HG0738120	Uncharacterized protein
HORVU.MOREX.r3.7HG0738140	ureide permease 1-like | Gene role: a core APC/C subunit, i.e. a cell-cycle and ubiquitin-mediated proteolysis regulator.
HORVU.MOREX.r3.7HG0738150	LOC123407385 — rRNA 2'-O-methyltransferase fibrillarin 1-like | Gene role: rRNA methyltransferase involved in ribosome biogenesis and rRNA processing.
